user_id,timestamp,amount,merchant_category,location_risk_score,is_fraud
user_69,2025-04-12 09:05:27.531172,973.76,pharmacy,0.3,0
user_11,2025-04-12 09:13:22.531172,123.61,entertainment,0.1,0
user_563,2025-04-12 09:24:11.531172,14.92,entertainment,0.1,0
user_671,2025-04-12 09:40:37.531172,10.37,grocery,0.1,0
user_941,2025-04-12 10:20:25.531172,14.49,pharmacy,0.3,0
user_468,2025-04-12 10:34:58.531172,101.95,entertainment,0.1,0
user_490,2025-04-12 10:36:01.531172,5.69,grocery,0.1,0
user_465,2025-04-12 10:41:06.531172,6.59,hotel,0.1,0
user_656,2025-04-12 11:01:46.531172,5.93,online_retail,0.1,0
user_43,2025-04-12 11:20:25.531172,5.0,grocery,0.6,0
user_598,2025-04-12 11:21:10.531172,9.68,gas_station,0.1,0
user_848,2025-04-12 11:48:16.531172,5.0,hotel,0.3,0
user_146,2025-04-12 11:49:41.531172,25.93,restaurant,0.1,0
user_738,2025-04-12 11:59:35.531172,19.62,grocery,0.1,0
user_504,2025-04-12 12:41:10.531172,28.97,hotel,0.3,0
user_747,2025-04-12 13:11:49.531172,14.79,grocery,0.1,0
user_945,2025-04-12 13:46:43.531172,84.04,department_store,0.1,0
user_389,2025-04-12 14:01:48.531172,46.73,gas_station,0.1,0
user_228,2025-04-12 14:07:37.531172,6.32,gas_station,0.1,0
user_841,2025-04-12 14:59:06.531172,30.83,online_retail,0.4,0
user_371,2025-04-12 15:41:10.531172,41.48,gas_station,0.3,0
user_837,2025-04-12 16:02:03.531172,48.85,gas_station,0.4,0
user_140,2025-04-12 16:10:29.531172,5.0,restaurant,0.3,0
user_752,2025-04-12 16:14:50.531172,5.0,gas_station,0.1,0
user_855,2025-04-12 17:06:04.531172,1252.41,gas_station,0.3,0
user_189,2025-04-12 17:23:51.531172,13.17,grocery,0.1,0
user_589,2025-04-12 17:38:17.531172,144.94,pharmacy,0.6,0
user_119,2025-04-12 18:35:04.531172,20.18,gas_station,0.1,0
user_995,2025-04-12 18:37:17.531172,27.16,department_store,0.1,0
user_160,2025-04-12 19:00:51.531172,96.13,grocery,0.6,0
user_399,2025-04-12 19:22:37.531172,5.0,gas_station,0.1,0
user_589,2025-04-12 19:50:47.531172,24.17,gas_station,0.1,0
user_393,2025-04-12 19:53:15.531172,68.59,restaurant,0.1,0
user_173,2025-04-12 20:16:00.531172,11.2,grocery,0.1,0
user_560,2025-04-12 20:41:33.531172,17.97,grocery,0.1,0
user_920,2025-04-12 20:50:21.531172,126.09,pharmacy,0.3,0
user_314,2025-04-12 20:52:08.531172,18.24,gas_station,0.3,0
user_110,2025-04-12 21:01:06.531172,54.25,restaurant,0.1,0
user_324,2025-04-12 21:01:47.531172,101.73,restaurant,0.1,0
user_185,2025-04-12 21:24:48.531172,5.0,gas_station,0.3,0
user_47,2025-04-12 21:29:59.531172,9.03,grocery,0.1,0
user_893,2025-04-12 21:59:27.531172,987.91,electronics,0.7,1
user_827,2025-04-12 22:24:27.531172,414.35,entertainment,0.3,0
user_445,2025-04-12 22:32:47.531172,5.95,department_store,0.6,0
user_19,2025-04-12 22:37:56.531172,5.0,entertainment,0.1,0
user_489,2025-04-12 22:44:47.531172,62.7,gas_station,0.6,0
user_548,2025-04-12 22:45:11.531172,20.68,grocery,0.3,0
user_786,2025-04-12 23:17:40.531172,11.3,grocery,0.1,0
user_83,2025-04-12 23:48:12.531172,8.21,online_retail,0.1,0
user_783,2025-04-12 23:52:59.531172,7.47,grocery,0.9,0
user_316,2025-04-12 23:58:05.531172,36.81,restaurant,0.1,0
user_737,2025-04-13 00:02:21.531172,5.93,restaurant,0.3,0
user_17,2025-04-13 00:24:56.531172,5.0,grocery,0.1,0
user_91,2025-04-13 00:25:51.531172,32.25,online_retail,0.1,0
user_226,2025-04-13 01:45:49.531172,8.45,airline,0.3,0
user_533,2025-04-13 01:46:16.531172,29.49,department_store,0.3,0
user_979,2025-04-13 01:50:49.531172,21.12,grocery,0.6,0
user_764,2025-04-13 01:59:43.531172,80.22,grocery,0.3,0
user_105,2025-04-13 02:07:43.531172,8.39,grocery,0.4,0
user_123,2025-04-13 03:01:11.531172,8.08,restaurant,0.1,0
user_398,2025-04-13 03:20:13.531172,32.13,online_retail,0.1,0
user_353,2025-04-13 03:25:16.531172,12.06,grocery,0.3,0
user_756,2025-04-13 03:42:59.531172,67.75,airline,0.1,0
user_10,2025-04-13 03:47:41.531172,8.55,online_retail,0.1,0
user_378,2025-04-13 03:50:23.531172,12.2,gas_station,0.3,0
user_282,2025-04-13 03:52:38.531172,49.74,pharmacy,0.1,0
user_597,2025-04-13 03:55:37.531172,15.09,grocery,0.1,0
user_550,2025-04-13 04:03:45.531172,23.8,grocery,0.7,0
user_548,2025-04-13 04:23:16.531172,5.0,entertainment,0.1,0
user_968,2025-04-13 04:25:40.531172,54.32,airline,0.6,0
user_993,2025-04-13 04:25:46.531172,6.44,entertainment,0.1,0
user_706,2025-04-13 04:37:28.531172,27.11,department_store,0.1,0
user_821,2025-04-13 04:43:46.531172,13.28,grocery,0.1,0
user_665,2025-04-13 05:31:18.531172,57.16,department_store,0.1,0
user_714,2025-04-13 05:39:22.531172,6.69,online_retail,0.3,0
user_699,2025-04-13 05:44:29.531172,26.75,airline,0.1,0
user_249,2025-04-13 05:48:57.531172,322.52,grocery,0.1,0
user_284,2025-04-13 06:15:32.531172,222.53,gas_station,0.1,0
user_667,2025-04-13 06:17:17.531172,32.45,pharmacy,0.1,0
user_409,2025-04-13 06:34:54.531172,3824.2,entertainment,0.7,1
user_646,2025-04-13 06:41:20.531172,2000.0,electronics,0.6,0
user_456,2025-04-13 06:49:33.531172,256.64,grocery,0.3,0
user_812,2025-04-13 06:54:08.531172,5.55,airline,0.1,0
user_683,2025-04-13 06:54:19.531172,111.08,gas_station,0.1,0
